file_path,redundancy_type,risk_level,action_recommended,notes
"src/ai_service/config/feature_flags.py","exact_duplicate","HIGH","DELETE","Duplicate of utils/feature_flags.py"
"src/ai_service/layers/normalization/morphology_adapter.py","legacy_duplicate","HIGH","CONSOLIDATE","Seems to be old version vs morphology/morphology_adapter.py"
"src/ai_service/services/embedding_preprocessor.py","location_duplicate","MEDIUM","DELETE","Same as layers/embeddings/embedding_preprocessor.py"
"tests/unit/test_orchestrator_service_old.py","legacy_test","MEDIUM","DELETE","Legacy test, functionality should be in new tests"
"tests/unit/text_processing/test_normalization_service_old.py","legacy_test","MEDIUM","DELETE","Legacy test file"
"tests/unit/adapters/test_legacy_normalization_adapter.py","legacy_test","MEDIUM","DELETE","Legacy adapter test"
"src/ai_service/layers/normalization/normalization_service_legacy.py","legacy_code","LOW","ARCHIVE","Legacy implementation, keep for reference"
"src/ai_service/core/unified_orchestrator_with_search.py","specialized_duplicate","HIGH","DELETE","Should be unified into main orchestrator"
"src/ai_service/layers/normalization/normalization_service.py","wrapper_duplicate","MEDIUM","REVIEW","May be wrapper around factory, check if needed"
".artifacts/","temporary_files","LOW","CLEANUP","Temporary artifacts directory"
"tests/integration/test_ascii_fastpath_golden_integration.py","overly_specific_test","LOW","REVIEW","Very specific test, may be redundant"
"monitoring/grafana_dashboard.json","config_file","LOW","KEEP","Configuration file, needed for monitoring"
"monitoring/prometheus.yml","config_file","LOW","KEEP","Configuration file, needed for monitoring"
"out/","temporary_reports","LOW","CLEANUP","Temporary report output directory"
"scripts/comparison_results_*.json","temporary_data","LOW","CLEANUP","Temporary comparison results"
"tools/basic_warmup.py","duplicate_utility","MEDIUM","CONSOLIDATE","Multiple warmup scripts, consolidate into one"
"tools/simple_warmup.py","duplicate_utility","MEDIUM","CONSOLIDATE","Multiple warmup scripts, consolidate into one"
"tools/final_warmup.py","duplicate_utility","MEDIUM","CONSOLIDATE","Multiple warmup scripts, consolidate into one"
"src/ai_service/layers/embeddings/optimized_embedding_service.py","alternative_impl","MEDIUM","REVIEW","Alternative implementation, check if used"
"httpx/__init__.py","mystery_directory","HIGH","INVESTIGATE","Unknown httpx directory in root, likely misplaced"